Year,Date,Ridership,Day,Business_day,Holiday,Gas Price,Weather
2014,1/1,147,Wednesday,1,1,3.309   ,
2014,1/2,551,Thursday,1,0,3.309   ,
2014,1/3,461,Friday,1,0,3.309   ,
2014,1/4,219,Saturday,0,0,3.309   ,
2014,1/5,142,Sunday,0,0,3.309   ,
2014,1/6,614,Monday,1,0,3.309   ,
2014,1/7,550,Tuesday,1,0,3.309   ,
2014,1/8,645,Wednesday,1,0,3.280   ,
2014,1/9,668,Thursday,1,0,3.280   ,
2014,1/10,651,Friday,1,0,3.280   ,
2014,1/11,247,Saturday,0,0,3.280   ,
2014,1/12,197,Sunday,0,0,3.280   ,
2014,1/13,672,Monday,1,0,3.280   ,
2014,1/14,714,Tuesday,1,0,3.280   ,
2014,1/15,724,Wednesday,1,0,3.300   ,
2014,1/16,715,Thursday,1,0,3.300   ,
2014,1/17,683,Friday,1,0,3.300   ,
2014,1/18,244,Saturday,0,0,3.300   ,
2014,1/19,160,Sunday,0,0,3.300   ,
2014,1/20,268,Monday,1,1,3.300   ,
2014,1/21,290,Tuesday,1,0,3.300   ,
2014,1/22,560,Wednesday,1,0,3.337   ,
2014,1/23,680,Thursday,1,0,3.337   ,
2014,1/24,664,Friday,1,0,3.337   ,
2014,1/25,251,Saturday,0,0,3.337   ,
2014,1/26,158,Sunday,0,0,3.337   ,
2014,1/27,661,Monday,1,0,3.337   ,
2014,1/28,663,Tuesday,1,0,3.337   ,
2014,1/29,669,Wednesday,1,0,3.391   ,
2014,1/30,682,Thursday,1,0,3.391   ,
2014,1/31,672,Friday,1,0,3.391   ,
2014,2/1,284,Saturday,0,0,3.391   ,
2014,2/2,181,Sunday,0,0,3.391   ,
2014,2/3,619,Monday,1,0,3.391   ,
2014,2/4,703,Tuesday,1,0,3.391   ,
2014,2/5,642,Wednesday,1,0,3.432   ,
2014,2/6,709,Thursday,1,0,3.432   ,
2014,2/7,682,Friday,1,0,3.432   ,
2014,2/8,262,Saturday,0,0,3.432   ,
2014,2/9,154,Sunday,0,0,3.432   ,
2014,2/10,659,Monday,1,0,3.432   ,
2014,2/11,701,Tuesday,1,0,3.432   ,
2014,2/12,702,Wednesday,1,0,3.493   ,
2014,2/13,106,Thursday,1,0,3.493   ,
2014,2/14,540,Friday,1,0,3.493   ,
2014,2/15,250,Saturday,0,0,3.493   ,
2014,2/16,192,Sunday,0,0,3.493   ,
2014,2/17,262,Monday,1,1,3.493   ,
2014,2/18,698,Tuesday,1,0,3.493   ,
2014,2/19,715,Wednesday,1,0,3.536   ,
2014,2/20,728,Thursday,1,0,3.536   ,
2014,2/21,695,Friday,1,0,3.536   ,
2014,2/22,317,Saturday,0,0,3.536   ,
2014,2/23,180,Sunday,0,0,3.536   ,
2014,2/24,673,Monday,1,0,3.536   ,
2014,2/25,696,Tuesday,1,0,3.536   ,
2014,2/26,675,Wednesday,1,0,3.555   ,
2014,2/27,711,Thursday,1,0,3.555   ,
2014,2/28,673,Friday,1,0,3.555   ,
2014,3/1,278,Saturday,0,0,3.555   ,
2014,3/2,183,Sunday,0,0,3.555   ,
2014,3/3,132,Monday,1,0,3.555   ,
2014,3/4,632,Tuesday,1,0,3.555   ,
2014,3/5,728,Wednesday,1,0,3.566   ,
2014,3/6,726,Thursday,1,0,3.566   ,
2014,3/7,698,Friday,1,0,3.566   ,
2014,3/8,323,Saturday,0,0,3.566   ,
2014,3/9,192,Sunday,0,0,3.566   ,
2014,3/10,699,Monday,1,0,3.566   ,
2014,3/11,734,Tuesday,1,0,3.566   ,
2014,3/12,728,Wednesday,1,0,3.595   ,
2014,3/13,726,Thursday,1,0,3.595   ,
2014,3/14,726,Friday,1,0,3.595   ,
2014,3/15,417,Saturday,0,0,3.595   ,
2014,3/16,242,Sunday,0,0,3.595   ,
2014,3/17,241,Monday,1,0,3.595   ,
2014,3/18,723,Tuesday,1,0,3.595   ,
2014,3/19,731,Wednesday,1,0,3.573   ,
2014,3/20,751,Thursday,1,0,3.573   ,
2014,3/21,722,Friday,1,0,3.573   ,
2014,3/22,385,Saturday,0,0,3.573   ,
2014,3/23,217,Sunday,0,0,3.573   ,
2014,3/24,699,Monday,1,0,3.573   ,
2014,3/25,716,Tuesday,1,0,3.573   ,
2014,3/26,745,Wednesday,1,0,3.533   ,
2014,3/27,750,Thursday,1,0,3.533   ,
2014,3/28,730,Friday,1,0,3.533   ,
2014,3/29,329,Saturday,0,0,3.533   ,
2014,3/30,184,Sunday,0,0,3.533   ,
2014,3/31,706,Monday,1,0,3.533   ,
2014,4/1,758,Tuesday,1,0,3.533   ,
2014,4/2,753,Wednesday,1,0,3.527   ,
2014,4/3,753,Thursday,1,0,3.527   ,
2014,4/4,783,Friday,1,0,3.527   ,
2014,4/5,464,Saturday,0,0,3.527   ,
2014,4/6,308,Sunday,0,0,3.527   ,
2014,4/7,690,Monday,1,0,3.527   ,
2014,4/8,766,Tuesday,1,0,3.527   ,
2014,4/9,786,Wednesday,1,0,3.556   ,
2014,4/10,818,Thursday,1,0,3.556   ,
2014,4/11,793,Friday,1,0,3.556   ,
2014,4/12,638,Saturday,0,0,3.556   ,
2014,4/13,406,Sunday,0,0,3.556   ,
2014,4/14,747,Monday,1,0,3.556   ,
2014,4/15,678,Tuesday,1,0,3.556   ,
2014,4/16,733,Wednesday,1,0,3.557   ,
2014,4/17,780,Thursday,1,0,3.557   ,
2014,4/18,736,Friday,1,0,3.557   ,
2014,4/19,402,Saturday,0,0,3.557   ,
2014,4/20,224,Sunday,0,0,3.557   ,
