Date,Ridership
1/1/2005,157000
1/2/2005,146000
1/3/2005,533000
1/4/2005,601000
1/5/2005,605000
1/6/2005,622000
1/7/2005,609000
1/8/2005,222000
1/9/2005,143000
1/10/2005,627000
1/11/2005,656000
1/12/2005,671000
1/13/2005,663000
1/14/2005,632000
1/15/2005,246000
1/16/2005,160000
1/17/2005,221000
1/18/2005,642000
1/19/2005,753000
1/20/2005,574000
1/21/2005,655000
1/22/2005,182000
1/23/2005,131000
1/24/2005,636000
1/25/2005,652000
1/26/2005,666000
1/27/2005,646000
1/28/2005,630000
1/29/2005,251000
1/30/2005,130000
1/31/2005,609000
2/1/2005,658000
2/2/2005,661000
2/3/2005,652000
2/4/2005,645000
2/5/2005,257000
2/6/2005,147000
2/7/2005,626000
2/8/2005,653000
2/9/2005,669000
2/10/2005,655000
2/11/2005,648000
2/12/2005,256000
2/13/2005,176000
2/14/2005,608000
2/15/2005,652000
2/16/2005,661000
2/17/2005,669000
2/18/2005,647000
2/19/2005,275000
2/20/2005,178000
2/21/2005,256000
2/22/2005,649000
2/23/2005,679000
2/24/2005,609000
2/25/2005,644000
2/26/2005,260000
2/27/2005,171000
2/28/2005,545000
3/1/2005,640000
3/2/2005,674000
3/3/2005,670000
3/4/2005,669000
3/5/2005,265000
3/6/2005,180000
3/7/2005,648000
3/8/2005,639000
3/9/2005,668000
3/10/2005,695000
3/11/2005,692000
3/12/2005,313000
3/13/2005,202000
3/14/2005,663000
3/15/2005,690000
3/16/2005,689000
3/17/2005,698000
3/18/2005,686000
3/19/2005,317000
3/20/2005,190000
3/21/2005,676000
3/22/2005,718000
3/23/2005,677000
3/24/2005,717000
3/25/2005,640000
3/26/2005,301000
3/27/2005,165000
3/28/2005,610000
3/29/2005,710000
3/30/2005,741000
3/31/2005,717000
4/1/2005,717000
4/2/2005,253000
4/3/2005,229000
4/4/2005,670000
4/5/2005,724000
4/6/2005,751000
4/7/2005,722000
4/8/2005,720000
4/9/2005,558000
4/10/2005,325000
4/11/2005,685000
4/12/2005,693000
4/13/2005,708000
4/14/2005,759000
4/15/2005,727000
4/16/2005,376000
4/17/2005,274000
4/18/2005,709000
4/19/2005,744000
4/20/2005,747000
4/21/2005,728000
4/22/2005,689000
4/23/2005,265000
4/24/2005,172000
4/25/2005,665000
4/26/2005,707000
4/27/2005,710000
4/28/2005,707000
4/29/2005,708000
4/30/2005,288000
5/1/2005,209000
5/2/2005,657000
5/3/2005,680000
5/4/2005,681000
5/5/2005,689000
5/6/2005,676000
5/7/2005,268000
5/8/2005,171000
5/9/2005,634000
5/10/2005,686000
5/11/2005,691000
5/12/2005,707000
5/13/2005,718000
5/14/2005,341000
5/15/2005,214000
